[13:35:58] === SOAR Learning Loop ===
[13:35:58] Split: training | Tasks: 200 | Stored rules: 78
[13:35:58] Log: logs/learn_20260429_133558.log
[13:35:58] 
[13:36:48] [108/200] bbb1b8b6: INCORRECT  rule=identity  via=pipeline(steps=24)  (0.2s)
[13:36:50] [109/200] 4ff4c9da: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (1.6s)
[13:36:51] [110/200] 8dab14c2: INCORRECT  rule=color_mapping  via=pipeline(steps=18)  (1.2s)
[13:36:51] [111/200] d19f7514: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.2s)
[13:36:51] [112/200] 3f7978a0: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.3s)
[13:36:52] [113/200] 7468f01a: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.4s)
[13:36:52] [114/200] 0c786b71: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[13:36:52] [115/200] 662c240a: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[13:36:52] [116/200] d4469b4b: INCORRECT  rule=identity  via=pipeline(steps=24)  (0.1s)
[13:36:54] [117/200] 551d5bf1: INCORRECT  rule=color_mapping  via=pipeline(steps=14)  (1.3s)
[13:36:54] [118/200] 94be5b80: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.6s)
[13:36:55] [119/200] 42a50994: INCORRECT  rule=color_mapping  via=pipeline(steps=18)  (0.8s)
[13:36:55] [120/200] 292dd178: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.4s)
[13:36:56] [121/200] 896d5239: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.9s)
[13:36:56] [122/200] 6e19193c: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[13:36:57] [123/200] aaef0977: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[13:36:57] [124/200] 3618c87e: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.1s)
[13:36:58] [125/200] 99306f82: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.8s)
[13:36:58] [126/200] 575b1a71: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.3s)
[13:36:58] [127/200] d4b1c2b1: INCORRECT  rule=identity  via=pipeline(steps=24)  (0.3s)
[13:36:58] [128/200] b60334d2: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[13:36:59] [129/200] f18ec8cc: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.5s)
[13:37:01] [130/200] 891232d6: INCORRECT  rule=identity  via=pipeline(steps=18)  (2.0s)
[13:37:04] [131/200] de493100: INCORRECT  rule=identity  via=pipeline(steps=18)  (3.0s)
[13:37:05] [132/200] d753a70b: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.8s)
[13:37:05] [133/200] e21d9049: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.5s)
[13:37:06] [134/200] 6165ea8f: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.2s)
[13:37:06] [135/200] 9af7a82c: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[13:37:07] [136/200] cd3c21df: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[13:37:07] [137/200] 3391f8c0: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.4s)
[13:37:08] [138/200] 18419cfa: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (1.2s)
[13:37:08] [139/200] 60b61512: INCORRECT  rule=color_mapping  via=pipeline(steps=14)  (0.2s)
[13:37:09] [140/200] cfb2ce5a: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.3s)
[13:37:09] [141/200] e6de6e8f: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[13:37:09] [142/200] e98196ab: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.3s)
[13:37:09] [143/200] ef135b50: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.3s)
[13:37:10] [144/200] 5833af48: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.7s)
[13:37:10] [145/200] bae5c565: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.3s)
[13:37:12] [146/200] 696d4842: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.3s)
[13:37:12] [147/200] 7d18a6fb: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.6s)
[13:37:13] [148/200] 692cd3b6: INCORRECT  rule=recolor_sequential  via=pipeline(steps=16)  (0.6s)
[13:37:13] [149/200] 54d82841: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.1s)
[13:37:14] [150/200] af726779: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.9s)
[13:37:14] [151/200] be94b721: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[13:37:15] [152/200] e99362f0: INCORRECT  rule=identity  via=pipeline(steps=22)  (0.4s)
[13:37:15] [153/200] 7c8af763: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.3s)
[13:37:15] [154/200] 8ba14f53: INCORRECT  rule=identity  via=pipeline(steps=22)  (0.1s)
[13:37:16] [155/200] a57f2f04: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.3s)
[13:37:18] [156/200] 83eb0a57: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.5s)
[13:37:19] [157/200] 34cfa167: INCORRECT  rule=identity  via=pipeline(steps=14)  (1.7s)
[13:37:20] [158/200] 4612dd53: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.5s)
[13:37:20] [159/200] b25e450b: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.5s)
[13:37:21] [160/200] bd5af378: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.3s)
[13:37:21] [161/200] 97c75046: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.2s)
[13:37:21] [162/200] 2bcee788: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.3s)
[13:37:22] [163/200] 9f27f097: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.4s)
[13:37:22] [164/200] 68bc2e87: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.6s)
[13:37:23] [165/200] f83cb3f6: CORRECT  rule=barrier_projection  via=pipeline(steps=16)  (0.5s)
[13:37:23] [166/200] b1948b0a: CORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.1s)
[13:37:23] [167/200] 626c0bcc: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[13:37:23] [168/200] d37a1ef5: INCORRECT  rule=recolor_sequential  via=pipeline(steps=16)  (0.4s)
[13:37:25] [169/200] 6aa20dc0: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (1.4s)
[13:37:26] [170/200] 1da012fc: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.8s)
[13:37:27] [171/200] e88171ec: INCORRECT  rule=recolor_sequential  via=pipeline(steps=16)  (1.3s)
[13:37:27] [172/200] 83b6b474: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[13:37:27] [173/200] 78e78cff: INCORRECT  rule=recolor_sequential  via=pipeline(steps=14)  (0.3s)
[13:37:27] [174/200] 4522001f: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.1s)
[13:37:28] [175/200] a9f96cdd: CORRECT  rule=marker_stamp_offsets  via=stored(a9f96cdd)  (0.1s)
[13:37:28] [176/200] c87289bb: INCORRECT  rule=color_mapping  via=pipeline(steps=18)  (0.4s)
[13:37:30] [177/200] ad173014: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.6s)
[13:37:31] [178/200] 2546ccf6: INCORRECT  rule=identity  via=pipeline(steps=14)  (1.1s)
[13:37:34] [179/200] a64e4611: INCORRECT  rule=recolor_sequential  via=pipeline(steps=16)  (3.1s)
[13:37:35] [180/200] fd4b2b02: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.2s)
[13:37:36] [181/200] 5b526a93: INCORRECT  rule=color_mapping  via=pipeline(steps=14)  (0.8s)
[13:37:36] [182/200] 539a4f51: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[13:37:36] [183/200] 2601afb7: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[13:37:36] [184/200] 1cf80156: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[13:37:37] [185/200] 5792cb4d: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[13:37:37] [186/200] 7ee1c6ea: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.4s)
[13:37:37] [187/200] fafffa47: INCORRECT  rule=identity  via=pipeline(steps=20)  (0.1s)
[13:37:37] [188/200] db3e9e38: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.1s)
[13:37:38] [189/200] e509e548: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.6s)
[13:37:38] [190/200] 668eec9a: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.5s)
[13:37:39] [191/200] 31d5ba1a: INCORRECT  rule=identity  via=pipeline(steps=20)  (0.2s)
[13:37:39] [192/200] 0bb8deee: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.4s)
[13:37:39] [193/200] 5d588b4d: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.3s)
[13:37:39] [194/200] 8597cfd7: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.2s)
[13:37:40] [195/200] 7ec998c9: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.1s)
[13:37:41] [196/200] a04b2602: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (1.2s)
[13:37:42] [197/200] b457fec5: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.1s)
[13:37:42] [198/200] 140c817e: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.5s)
[13:37:42] [199/200] 3ac3eb23: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.1s)
[13:37:43] [200/200] 67636eac: CORRECT  rule=stack_objects_aligned  via=stored(67636eac)  (0.3s)
[13:37:43] 
[13:37:43] =======================================================
[13:37:43] Tasks:       200  (0 errors)
[13:37:43] Correct:     46 / 200  (23.0%)
[13:37:43] Rules:       78 -> 79  (+1 learned)
[13:37:43] Reused:      42 times (stored rule hit)
[13:37:43] Discovered:  39 new rules from pipeline
[13:37:43] Time:        105s  (0.5s/task)
[13:37:43] =======================================================
